Month,Day,Sunday %,Monday %,Tuesday %,Wednesday %,Thursday %,Friday %,Saturday %
April,1,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
April,2,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
April,3,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
April,4,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
April,5,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
April,6,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
April,7,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
April,8,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
April,9,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
April,10,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
April,11,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
April,12,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
April,13,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
April,14,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
April,15,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
April,16,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
April,17,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
April,18,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
April,19,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
April,20,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
April,21,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
April,22,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
April,23,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
April,24,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
April,25,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
April,26,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
April,27,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
April,28,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
April,29,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
April,30,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
