Month,Day,Sunday %,Monday %,Tuesday %,Wednesday %,Thursday %,Friday %,Saturday %
May,1,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
May,2,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
May,3,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
May,4,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
May,5,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
May,6,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
May,7,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
May,8,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
May,9,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
May,10,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
May,11,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
May,12,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
May,13,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
May,14,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
May,15,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
May,16,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
May,17,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
May,18,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
May,19,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
May,20,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
May,21,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
May,22,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
May,23,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
May,24,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
May,25,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
May,26,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
May,27,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
May,28,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
May,29,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
May,30,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
May,31,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
