Month,Day,Sunday %,Monday %,Tuesday %,Wednesday %,Thursday %,Friday %,Saturday %
July,1,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
July,2,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
July,3,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
July,4,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
July,5,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
July,6,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
July,7,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
July,8,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
July,9,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
July,10,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
July,11,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
July,12,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
July,13,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
July,14,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
July,15,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
July,16,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
July,17,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
July,18,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
July,19,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
July,20,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
July,21,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
July,22,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
July,23,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
July,24,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
July,25,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865
July,26,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963
July,27,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415
July,28,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963,14.414414414414415
July,29,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415,13.963963963963963
July,30,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963,14.414414414414415
July,31,14.414414414414415,13.963963963963963,14.414414414414415,14.414414414414415,13.963963963963963,14.864864864864865,13.963963963963963
