Month,Day,Sunday %,Monday %,Tuesday %,Wednesday %,Thursday %,Friday %,Saturday %
February,1,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865
February,2,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415
February,3,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963
February,4,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415
February,5,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514
February,6,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865
February,7,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963
February,8,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865
February,9,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415
February,10,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963
February,11,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415
February,12,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514
February,13,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865
February,14,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963
February,15,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865
February,16,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415
February,17,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963
February,18,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415
February,19,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514
February,20,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865
February,21,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963
February,22,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865
February,23,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415
February,24,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963
February,25,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514,14.414414414414415
February,26,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865,13.513513513513514
February,27,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963,14.864864864864865
February,28,14.864864864864865,13.513513513513514,14.414414414414415,13.963963963963963,14.414414414414415,14.864864864864865,13.963963963963963
February,29,12.962962962962962,16.666666666666664,12.962962962962962,14.814814814814813,12.962962962962962,12.962962962962962,16.666666666666664
